"","Farm_type","Sample_type","m_Observed","sd_Observed","m_Simpson","sd_Simpson","m_Shannon","sd_Shannon"
"1","Pullet","Litter",140.333333333333,105.120248604475,0.891920999476009,0.0766636628270138,2.98611863358943,0.56706549651703
"2","Pullet","Soil",339.666666666667,167.667130549391,0.979417366487094,0.00657081204849044,4.5398775319233,0.448507886851539
"3","Breeder","Litter",274.9,140.394246479136,0.900775323349109,0.059730162274031,3.22325840750034,0.405781420004738
"4","Breeder","Soil",320.4,152.115599316952,0.941253962186263,0.0424622007966864,4.00693562002146,0.443003128354528
"5","Broiler","Litter",240.125,58.4669422266406,0.919186630449789,0.0291292908511527,3.17315741908125,0.17987872323026
"6","Broiler","Soil",367.25,175.75077050566,0.961324894116454,0.0189696923540653,4.19216790640045,0.470539686625097
