"","Sample","Observed","Shannon","Simpson","Farm_Num","Sample_group","Farm_type","Sample_type","Company","TotalReads","m_Observed","sd_Observed","m_Shannon","sd_Shannon","m_Simpson","sd_Simpson"
"37","C3F10S",412,4.31448795083983,0.952109851629993,"FN3","C3F10S","Breeder","Soil","A",80658909,412,NA,4.31448795083983,NA,0.952109851629993,NA
"38","C3F14L",175,2.48829499384994,0.78734671635147,"FN4","C3F14L","Breeder","Litter","A",103058640,175,NA,2.48829499384994,NA,0.78734671635147,NA
"39","C3F14S",632,3.83087798878114,0.922675683141563,"FN4","C3F14S","Breeder","Soil","A",145352122,632,NA,3.83087798878114,NA,0.922675683141563,NA
"40","C4F17F1",300,3.88818337302535,0.950040240918891,"FN5","C4F17F","Breeder",NA,"A",29952034,291,10.1488915650922,3.97559896885056,0.0973550580756195,0.960507942966758,0.00909118531770069
"41","C4F17F2",280,3.95809490077463,0.966427403834983,"FN5","C4F17F","Breeder",NA,"A",23254266,291,10.1488915650922,3.97559896885056,0.0973550580756195,0.960507942966758,0.00909118531770069
"42","C4F17F3",293,4.08051863275171,0.965056184146399,"FN5","C4F17F","Breeder",NA,"A",24779334,291,10.1488915650922,3.97559896885056,0.0973550580756195,0.960507942966758,0.00909118531770069
"43","C4F17L1",148,3.23038765342313,0.939772621508443,"FN5","C4F17L","Breeder","Litter","A",38175942,156.666666666667,14.1539158303748,3.29898645762931,0.0822091490831253,0.942280535328518,0.00546287130127589
"44","C4F17L2",149,3.27646159344515,0.93852193410347,"FN5","C4F17L","Breeder","Litter","A",34480617,156.666666666667,14.1539158303748,3.29898645762931,0.0822091490831253,0.942280535328518,0.00546287130127589
"45","C4F17L3",173,3.39011012601964,0.948547050373641,"FN5","C4F17L","Breeder","Litter","A",37114780,156.666666666667,14.1539158303748,3.29898645762931,0.0822091490831253,0.942280535328518,0.00546287130127589
"46","C4F17S1",157,3.8839512484838,0.959515997449004,"FN5","C4F17S","Breeder","Soil","A",33069065,169.666666666667,14.1891977691952,3.997399785658,0.108969466229732,0.96323898587113,0.00330156117381319
"47","C4F17S2",167,4.00699214753457,0.96438997034196,"FN5","C4F17S","Breeder","Soil","A",38514211,169.666666666667,14.1891977691952,3.997399785658,0.108969466229732,0.96323898587113,0.00330156117381319
"48","C4F17S3",185,4.10125596095562,0.965810989822426,"FN5","C4F17S","Breeder","Soil","A",45807359,169.666666666667,14.1891977691952,3.997399785658,0.108969466229732,0.96323898587113,0.00330156117381319
"49","C4F8L",309,3.2590110870137,0.921105824085649,"FN6","C4F8L","Breeder","Litter","A",199286036,309,NA,3.2590110870137,NA,0.921105824085649,NA
